Prg TRTbl Name,CRF ID,Description,CRF Change Type,SR No,Status,SR Assigned to,CRF Logged date,Implementation by BASIS Team,CRF Closer Date,CR Status,CRF Initiator,Assigned Executive User Name,Master Data General Configuration,Assigned Work Group Name,Owner Work Group Name,Information,Pre Migration Approved 2,Pre Migration Approved 2 Time,Pre Migration Approved 3,Pre Migration Approved 3 Time,Level 3 Approved By Name,Level 3 Approval Date,Level 4 Approved By Name,Level 4 Approval Date
Login Controller,6639,Need to change SMS API account in Disha Portal,Normal,101285,Resolved,Vishal Saini,2025-06-28 09:56:40.857,2025-08-14 11:44:48.100,2025-08-14 11:44:48.100,Implementation Review Closed,Vishal Saini,DataCenter,No,IT Support (Infra),IT Support (Disha Portal),Regarding disha portal OTP sms account which we need to shift to hirise_mfa account.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 16 2025 9:41AM,Jul 16 2025 9:17AM,Jul 16 2025 10:46AM,Jul 16 2025 8:27AM,Jul 16 2025 1:36PM",Bhasker Chhabra,Jul 17 2025 12:53PM,,,,
Config changes,6658,SSO enable for SuccessFactors,Normal,102264,Resolved,Alok Kumar Singh,2025-07-01 16:31:05.390,2025-08-13 09:06:12.113,2025-08-13 09:06:12.113,Implementation Review Closed,Alok Kumar Singh,Alok Kumar Singh,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"SSO enable for SuccessFactors, So that HMSI associate login without ID & password in HMSI network","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 3 2025 8:27AM,Jul 3 2025 10:32AM,Jul 3 2025 7:28AM,Jul 3 2025 8:34AM,Jul 3 2025 10:22AM",Bhasker Chhabra,Jul 4 2025 4:15AM,,,,
"Database change only. update portaladmin.Cmheader ch set ch.isactive=0, ch.status='Y' where ch.gen_request_no in ('U25060009','U25040010','U24100156','U24100155'); --update portaladmin.Cmheader ch set ch.status='Y' where ch.gen_request_no in ('U25060009','U25040010','U24100156','U24100155'); update portaladmin.CMDETAIL cd set cd.isactive=0, cd.status='Y' where cd.cmheaderid in ('308','526','307','761'); --update portaladmin.CMDETAIL cd set cd.status='Y' where cd.cmheaderid in ('308','526','3",6675,Showing in Pending Request and due to change responsibilities Please remove sent back e-portal requests as per the attachment from e-portal. Disable these records from Backend so need the CR.,Normal,102094,Resolved,Rajesh Roshan,2025-07-03 15:41:11.840,2025-08-27 14:16:33.307,2025-08-27 14:16:33.307,Implementation Review Closed,Priyanka .,Sumit Kumar,No,IT Support [Hirise -Infrastructure],IT Support (Employee Portal),Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : Please remove sent back Eportal requests as per the attachement from eportal.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 10 2025 9:06AM,Jul 10 2025 9:09AM,Jul 10 2025 11:05AM,Jul 10 2025 10:39AM,Jul 10 2025 6:15PM",Bhasker Chhabra,Jul 11 2025 9:42AM,,,,
"Database changes only. UPDATE PORTALADMIN.DGIT_POHEADER SET PROCESS_STATUS=1 WHERE POHEADERID=97475; UPDATE PORTALADMIN.DGIT_POAPPHISTORY SET APPROVAL_STATUS=0, UPDATEBY=NULL,UPDATEDATE=NULL,APP_DATE=NULL WHERE POID=97475 AND ADEMPCODE=70000309;",6683,Akita San & 39;s Approval is not reflecting in PO No. 6000081834 so need to change in Database.,Normal,102464,Resolved,Rajesh Roshan,2025-07-04 15:51:48.670,2025-08-27 14:16:21.700,2025-08-27 14:16:21.700,Implementation Review Closed,Priyanka .,Sumit Kumar,No,IT Support [Hirise -Infrastructure],IT Support (Employee Portal),Akita San's Approval is not reflecting in PO No. 6000081834,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 10 2025 9:06AM,Jul 10 2025 9:10AM,Jul 10 2025 11:04AM,Jul 10 2025 10:39AM,Jul 10 2025 6:18PM",Bhasker Chhabra,Jul 11 2025 9:41AM,,,,
"Copying Activity for Goal Modification forms, PMS and Normalization forms & reports- Mid YearPMS-102 KI",6691,"SAP SF:- Copying Activity for Goal Modification forms, PMS and Normalization forms & reports- Mid YearPMS-102 KI",Normal,102258,Resolved,Nikki .,2025-07-07 11:49:29.967,2025-08-26 12:26:05.130,2025-08-26 12:26:05.130,Implementation Review Closed,Nikki .,Nikki .,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"Copying Activity for Goal Modification forms, PMS and Normalization forms & reports- Mid YearPMS-102 KI","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 22 2025 4:33AM,Jul 22 2025 4:32AM,Jul 22 2025 6:53AM,Jul 22 2025 8:01AM,Jul 22 2025 6:11AM",Bhasker Chhabra,Jul 22 2025 10:20AM,,,,
E-portal upgrade project so DB and page level changes required,6695,We are planning to make go-live of below module on e-portal under e-portal upgrade project (From .NET MVC to .NET 8.0-Core) : 1. Login Module 2. Home/Home Dashboard 3. A00Submit 4. ACR 5. Admin 6. Announcement/Communication 7. Asset Disposal 8. Asset Registration 9. Asset Transfer 10. Biker Café 11. Birthday List 12. Canteen 13. Corporate News 14. Switching (Old to New and New to Old) 15. Menu Management,Normal,102629,Resolved,Rajesh Roshan,2025-07-07 12:58:42.310,2025-08-02 16:10:27.913,2025-08-02 16:10:27.913,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),We are planning to make go-live of below module on e-portal under e-portal upgrade project (From .Net MVC to .Net 8.0-Core) : 1. Login Module2. Home/Home Dashboard3. A00Submit4. ACR5. Admin6. Announcement/Communication7. AssetDisposal8. AssetRegistration9. AssetTransfer10. BikerCafe11. BirthdayList12. Canteen13. CorporateNews14. Switching (Old to New and New to Old)15. Menu Management,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 23 2025 8:53AM,Jul 23 2025 9:48AM,Jul 23 2025 8:55AM,Jul 24 2025 9:16AM,Jul 23 2025 10:33AM",Bhasker Chhabra,Jul 26 2025 8:46AM,,,,
Copy manual Option,6702,1. Service DE- Evaluation Manual copy option 2. Service DE Code Optimization for H1 Evaluation [ CR will be open till 20th Jul ],Normal,102670,Resolved,Rajesh Roshan,2025-07-07 16:58:10.057,2025-08-21 09:33:04.430,2025-08-21 09:33:04.430,Implementation Review Closed,Vivek Sharma,Rajnandini Singh,No,IT Support (Sampark),IT Support (Sampark),,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 9 2025 5:30AM,Jul 9 2025 9:16AM,Jul 9 2025 5:48AM,Jul 8 2025 1:02PM,Jul 9 2025 4:01AM",Bhasker Chhabra,Jul 10 2025 5:12AM,,,,
Change log attached,6703,SAP FI: - Host to Host Changes for ICICI bank using API integration,Normal,102624,Resolved,Tilak Raj .,2025-07-08 10:27:04.073,2025-08-23 22:22:22.763,2025-08-23 22:22:22.763,Implementation Review Closed,Tilak Raj .,Tilak Raj .,No,IT Support (SAP FI and HR),IT Support (SAP FI and HR),"Financial Impact : Tax Impact : Payable Impact : Request Details : Our ICICI BANK API is GO LIVE in SAP PRD, but same is required some fine tuning to enhance speed and timely API alert posting. So, for that purpose, we are raising this SR.","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 14 2025 11:11AM,Jul 14 2025 12:03PM,Jul 14 2025 11:40AM,Jul 14 2025 8:27AM,Jul 14 2025 12:35PM",Bhasker Chhabra,Jul 14 2025 5:26PM,,,,
SDVK962677 SAPSD : CR6704 Improvement Required - VA05// SAP,6704,SAP SD:-Plant field addition in VA05 parameter screen.,Normal,101472,Resolved,Himanshu Sharma,2025-07-08 12:19:39.297,2025-08-12 11:21:43.680,2025-08-12 11:21:43.680,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP SD, CS, PI)",Requirement is to add plant field addition in VA05 parameter screen,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 3:36AM,Jul 23 2025 5:12PM,Jul 23 2025 2:12PM,Jul 24 2025 9:16AM,Jul 24 2025 8:36AM",Bhasker Chhabra,Jul 26 2025 8:49AM,,,,
SDVK964385   SAPSD-CR6707-SAP Pricing Workflow for Topline Dealer,6707,SAP SD:- Pricing approval from ZSDPRICE_UPLOAD for topline dealers.,Normal,99383,Resolved,Himanshu Sharma,2025-07-08 13:52:31.587,2025-08-27 10:56:58.687,2025-08-27 10:56:58.687,Implementation Review Closed,Nikki .,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP SD, CS, PI)",This requirement pertains to the automation of top dealer base price change approval process in SAP with manual approval process .,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 24 2025 1:47PM,Aug 23 2025 10:48AM,Aug 23 2025 9:05AM,Aug 23 2025 9:34AM,Aug 23 2025 9:51AM",Bhasker Chhabra,Aug 24 2025 2:02PM,,,,
Change logs attached in file,6709,Need to implement multiselect option in Disha Portal freight module report,Normal,102577,Resolved,Vishal Saini,2025-07-09 07:46:29.580,2025-08-14 07:45:12.190,2025-08-14 07:45:12.190,Implementation Review Closed,Vishal Saini,DataCenter,No,IT Support (Infra),IT Support (Disha Portal),Request to initiate the changes in Disha portal so that data extraction from Disha portal will be easier.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 4 2025 5:54AM,Aug 2 2025 11:50AM,Aug 4 2025 3:50AM,Aug 2 2025 11:41AM,Aug 2 2025 11:46AM",Bhasker Chhabra,Aug 4 2025 3:33PM,,,,
,6715,Data Change: Before Go-live invoices of Advance Warranty “Need to change Invoice status from ‘Submitted’ to ‘Validated’.” [ Attaching 1047 Nos of invoices ],Normal,100691,Resolved,Akhileshwar Dubey,2025-07-09 09:32:44.753,2025-08-21 09:07:21.727,2025-08-21 09:07:21.727,Implementation Review Closed,Vivek Sharma,Akhileshwar Dubey,No,IT Support (Hirise),IT Support (Hirise),Financial Impact : NoTax Impact : NoPayable Impact : NoRequest Details : WTY Invoices – Before Go-live invoices of Advance Warranty “Need to change Invoice status from ‘Submitted’ to ‘Validated’.” [ Attaching 1047 Nos of invoices ],"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 23 2025 8:53AM,Jul 23 2025 9:48AM,Jul 23 2025 8:51AM,Jul 24 2025 9:15AM,Jul 23 2025 10:33AM",Bhasker Chhabra,Jul 26 2025 8:49AM,,,,
ePortalModel\Activity\MonthlyCalendarModel.cs ePortalModel\Activity\ROLE_ACTIVITYTRANSACTION_.cs ePortalModel\Activity\RoleActivityTran.cs ePortalWebAPI\Controllers\MobileAppController.cs ePortalWebAPI\Data\ePortalDbContext.cs Rest has been attached in excel,6721,Improvement Points need to implement in My Role Module in HMSI ePortal Mobile App,Normal,102787,Resolved,Naveen Kumar Sharma,2025-07-09 14:42:56.847,2025-08-02 08:08:05.053,2025-08-02 08:08:05.053,Implementation Review Closed,Naveen Kumar Sharma,DataCenter,No,IT Support (Infra),IT Support (HMSI ePortal Mobile App),"Improvement Points need to implement in My Role Module in HMSI ePortal Mobile App1. One-Time Activity :- Display in both Calendar View and Role View for better visibility and tracking.2. Monthly Calendar :- Enable Export to Excel and PDF for reporting and sharing purposes.3. Daily Activity :- Provide Time Entry Fields (From & To) to accurately log activity durations.4. One-Time Activity Status Update :- Change status text from ""Incomplete"" to ""Yet to Address"" for better categorization.5. Exclude Week-Off Days :- Automatically hide activities scheduled on week-off days in the Monthly Calendar.6. Restrict Future Status Updates :- Disable status updates for activities scheduled in the future to maintain data integrity.7. Inline Status Updates :- Allow users to update activity status directly from the Monthly Calendar interface.8. Role Visibility :- Enable viewing of subordinate roles up to Division Head (DH) within the Monthly Calendar.9. UI Simplification :- Hide the ""Month"" button in the Monthly Calendar to streamline the interface.","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 4:19PM,Jul 24 2025 10:57AM,Jul 24 2025 11:53AM,Jul 24 2025 11:09AM,Jul 24 2025 3:20PM",Bhasker Chhabra,Jul 26 2025 8:49AM,,,,
Page level and Database level changes both.,6735,"Mobile SIM Services (SIM apply and International roaming activation) approval request should be reflected on E portal Approvals Tab/ Text Box, so that approvals authority easily checked & approved on time. PDF is attached",Normal,101983,Resolved,Abhishek .,2025-07-11 14:17:42.427,2025-08-25 11:18:32.970,2025-08-25 11:18:32.970,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),"Mobile SIM Services (SIM apply and International roaming activation) approval request should be reflected on E portal Approvals Tab/ Text Box, so that approvals authority easily checked & approved on time. PDF is attached","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 19 2025 6:06AM,Aug 18 2025 10:45AM,Aug 18 2025 9:36AM,Aug 18 2025 11:29AM,Aug 19 2025 6:00AM",Bhasker Chhabra,Aug 19 2025 1:28PM,,,,
Page level and Db Level changes both.,6738,1.A new category Capital Sanction is required on Approval Note Request and if user will select capital sanction as category then RFP DOC ID field will be mandatory to fill for user .This enhancement is link with ARIBA Dashboard where we need to show and track capital sanction approval date against RFP request.,Normal,101913,Resolved,Rajesh Roshan,2025-07-11 14:31:01.200,2025-08-13 12:20:15.950,2025-08-13 12:20:15.950,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),A new category Capital Sanction is required on Approval Note Request and if user will select capital sanction as category then RFP DOC ID field will be mandatory to fill for user .This enhancement is link with ARIBA Dashboard where we need to show and track capital sanction approval date against RFP request.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 6 2025 7:10AM,Aug 6 2025 8:33AM,Aug 6 2025 5:39AM,Aug 6 2025 8:56AM,Aug 6 2025 5:32AM",Bhasker Chhabra,Aug 6 2025 12:34PM,,,,
Field Removal from Time Off Request Page in Success Factors (EC),6743,SAP Successfactor:-Field Removal from Time Off Request Page in Success Factors (EC),Normal,100661,Resolved,Siva Manepalli,2025-07-13 19:50:47.423,2025-08-12 12:13:03.310,2025-08-12 12:13:03.310,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),"""Responsibility in My Absence"" field removal from Time Off Request Page in Success Factors (EC). Approval note is also attached for your pursual. Please do the needful at earliest.","Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 5 2025 12:32PM,Aug 5 2025 12:30PM,Aug 5 2025 12:44PM,Aug 5 2025 12:24PM,Aug 5 2025 12:36PM",Bhasker Chhabra,Aug 5 2025 1:01PM,,,,
To add the designation column in Resignation Report in Employee Central.,6744,SAP Successfactor -To add the designation column in Resignation Report in Employee Central.,Normal,101222,Resolved,Siva Manepalli,2025-07-13 19:57:43.100,2025-08-26 12:23:28.863,2025-08-26 12:23:28.863,Implementation Review Closed,Nikki .,Siva Manepalli,No,IT Support (SAP Successfactor),IT Support (SAP Successfactor),Kindly add designation column in Resignation Report in Employee Central,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 18 2025 5:54AM,Aug 18 2025 7:01AM,Aug 18 2025 7:52AM,Aug 18 2025 7:45AM,Aug 18 2025 4:18AM",Bhasker Chhabra,Aug 18 2025 1:23PM,,,,
,6750,Need to automate HONDA_COMMSERVER services on all ALC servers.,Normal,102760,Resolved,Kamlesh Mahore,2025-07-14 14:45:01.200,2025-08-05 08:56:30.070,2025-08-05 08:56:30.070,Implementation Review Closed,Kamlesh Mahore,Kamlesh Mahore,No,IT Support (Infra),IT Support (Infra),"Need to implement a PowerShell script monitors a specific process (HONDA_COMMSERVER.exe) to ensure it runs under a specific user (hmpmwina) for all ALC servers. If the process isn't running, the script logs the issue, sends an email alert, and attempts to restart the process. HMSI-1FALC-CLS1 HMSI-1FALC-CLS2 HMSI-2FALC-CLS2 HMSI-2FALC-CLS1 HMSI-3FALC-CLS1 HMSI-3FALC-CLS2 HMSI-4FALC-CLS1 HMSI-4FALC-CLS2",Akshat Kumar Puri,Aug 5 2025 3:44AM,,,"Amit Taneja,Ashish Dogra,Mosharraf Imam,Goji Sugita","Jul 18 2025 8:01AM,Jul 17 2025 9:27AM,Jul 16 2025 12:02PM,Jul 17 2025 2:06AM",Bhasker Chhabra,Jul 18 2025 1:53PM
Page level change.,6754,Change required in Asset disposal approval through E-Portal Approval Authority operation Wise. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,Normal,95154,Resolved,Rajesh Roshan,2025-07-14 14:58:56.740,2025-08-20 12:20:21.157,2025-08-20 12:20:21.157,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),Change required in Asset disposal approval through E-Portal. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 6 2025 7:08AM,Aug 6 2025 8:33AM,Aug 6 2025 5:38AM,Aug 6 2025 8:56AM,Aug 6 2025 5:32AM",Bhasker Chhabra,Aug 6 2025 12:34PM,,,,
Page level change.,6754,Change required in Asset disposal approval through E-Portal Approval Authority operation Wise. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,Normal,104480,Resolved,Rajesh Roshan,2025-07-14 14:58:56.740,2025-08-20 12:20:21.157,2025-08-20 12:20:21.157,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),Change required in Asset disposal approval through E-Portal. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 6 2025 7:08AM,Aug 6 2025 8:33AM,Aug 6 2025 5:38AM,Aug 6 2025 8:56AM,Aug 6 2025 5:32AM",Bhasker Chhabra,Aug 6 2025 12:34PM,,,,
Page level change.,6754,Change required in Asset disposal approval through E-Portal Approval Authority operation Wise. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,Normal,104683,Resolved,Rajesh Roshan,2025-07-14 14:58:56.740,2025-08-20 12:20:21.157,2025-08-20 12:20:21.157,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),Change required in Asset disposal approval through E-Portal. As Is: Concern User Division Head --> Plant OP Head --> PPC HO -->Director EQ--> CPO To Be: Concern User Division Head --> Plant PPC--> Plant OP Head --> Director EQ--> CPO Change point:1. Plant PPC approval added before Op head (Confirmation of asset qty & Book value)2. Remove PPC HO approval -->As before it is required for asset feasibility study but now all the approval process through IC/IBM,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 6 2025 7:08AM,Aug 6 2025 8:33AM,Aug 6 2025 5:38AM,Aug 6 2025 8:56AM,Aug 6 2025 5:32AM",Bhasker Chhabra,Aug 6 2025 12:34PM,,,,
,6757,Adobe Document Services (ADS) configuration in SAP GRP . Currently print option for Audit log extraction is not working in GRC. Due to which we have to take multiple screenshots for Audit log history. This process is very time-consuming. To resolve the issue we need to configure the ADS service in SAP GRC to enable the print option. Complete plan is attached and mentioned below .,Normal,102478,Resolved,Amit Kumar,2025-07-15 09:13:16.923,2025-08-04 14:26:25.237,2025-08-04 14:26:25.237,Implementation Review Closed,Prasun Mishra,Amit Kumar,No,IT Support (Enterprise Platform),IT Support (Enterprise Platform),"ADS Configuration Plan for GRP 1:Create ADS User in PIP JAVA User ID: ADSUSER Password: Roles and profile Assigned: SAP_ADSCALLER SAP_ADSMONITOR SAP_ALL SAP_NEW 2: create RFC in GRP Maintain RFC from GRC ABAP (GRP) to PI Target: 10.249.16.222:50000 3: ABAP System Configuration Create System User in GRP ABAP User ID: ADS_AGENT Assign below roles : ADSCALLERS SAP_BC_FPADS_ICF SAP_BC_FP_ICF SAP_ALL SAP_NEW 4:Activate SICF Services in GRP 5:ADS Integration ,Configure ADS to ABAP Ensure proper linkage and configuration between ADS and ABAP system. Enable ADS in SLD Access: SLD Link 6: SOA Management Destination Template Management Navigate: SOA Management → Technical Configuration → Destination Template Management Create and verify new destination templates.",Amit Kumar Dubey,Aug 4 2025 9:13AM,,,"Amit Taneja,Ashish Dogra,Mosharraf Imam,Goji Sugita","Jul 18 2025 8:02AM,Jul 17 2025 3:23AM,Jul 16 2025 12:02PM,Jul 17 2025 2:05AM",Bhasker Chhabra,Jul 18 2025 1:51PM
Database change only.,6760,Remove Old Pendency from e-Portal Regarding Taxi Request. showing long pendency 131 - in MY Request,Normal,101953,Resolved,Rajesh Roshan,2025-07-15 11:33:07.407,2025-08-07 18:32:06.567,2025-08-07 18:32:06.567,Implementation Review Closed,Priyanka .,Sumit Kumar,No,IT Support [Hirise -Infrastructure],IT Support (Employee Portal),Remove Old Pendency from e-Portal Regarding Taxi Request. showing long pendency 131 - in MY Request,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 5 2025 12:34PM,Aug 5 2025 11:58AM,Aug 5 2025 8:08AM,Aug 5 2025 12:24PM,Aug 5 2025 7:33AM",Bhasker Chhabra,Aug 5 2025 1:00PM,,,,
Configurations changes will be done,6763,For the go-live of 12 formats of Environment module,Normal,100987,Resolved,Vaibhav Sharma,2025-07-15 13:59:27.870,2025-08-02 09:01:52.690,2025-08-02 09:01:52.690,Implementation Review Closed,Vaibhav Sharma,Vaibhav Sharma,No,SHE Management System,SHE Management System,Below is the list of 12 modules: Aspect Impact Analysis Objectives of EMS Master list Sheet EMP Monitoring Sheet EMS Competence Mapping Environmental Key Parameter Verification of Competance EMP Baseline sheet EMP Performance Sheet Environment Management Program Prioritization Sheet for Aspect Impact EMP Master List,"Amit Taneja,Ashish Dogra,Mosharraf Imam,Amarjeet Singh,Goji Sugita","Jul 26 2025 3:35PM,Jul 25 2025 12:36PM,Jul 25 2025 11:39AM,Jul 25 2025 8:11AM,Jul 25 2025 10:52AM",Bhasker Chhabra,Jul 28 2025 2:38PM,,,,
Page level change Only.,6773,Employee Self declaration content need to update in e-portal as enclosed.,Normal,103564,Resolved,Rajesh Roshan,2025-07-16 10:52:25.857,2025-08-02 13:56:53.703,2025-08-02 13:56:53.703,Implementation Review Closed,Priyanka .,DataCenter,No,IT Support (Infra),IT Support (Employee Portal),Employee Self declaration content need to update in e-portal as enclosed.,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 30 2025 6:58AM,Jul 30 2025 12:04PM,Jul 30 2025 8:23AM,Jul 30 2025 11:06AM,Jul 30 2025 4:12AM",Bhasker Chhabra,Jul 30 2025 1:32PM,,,,
,6777,Need to apply Access list policy to set communication between Catia server and PIM server. Device details: HMSI-MNS-CORE-01 - 192.168.100.10,Normal,103562,Resolved,Deepshikha .,2025-07-16 17:38:01.233,2025-08-04 10:49:57.180,2025-08-04 10:49:57.180,Implementation Review Closed,Deepshikha .,Sumit Jaswal,No,IT Support (Network Support),IT Support (Network Support),"The Catia server is currently inaccessible from PIM due to traffic being blocked on the 1F core switch. To allow communication, we have created an ACL to permit the necessary traffic between PIM and the Catia server. Device details: HMSI-MNS-CORE-01 - 192.168.100.10",Akshat Kumar Puri,Aug 4 2025 5:43AM,,,"Amit Taneja,Ashish Dogra,Mosharraf Imam,Goji Sugita","Jul 21 2025 12:44AM,Jul 21 2025 10:16AM,Jul 19 2025 2:41AM,Jul 21 2025 5:48AM",Bhasker Chhabra,Jul 21 2025 12:49PM
SDVK964909 106 TTL_95749 MM: New MRP Area TPKR-!U05 : CR6779,6779,MRP Area Creation,Normal,102730,Resolved,Amit Kumar,2025-07-16 17:44:35.430,2025-08-27 10:42:40.253,2025-08-27 10:42:40.253,Implementation Review Closed,Gaurav Mishra,Amit Kumar,No,IT Support (Enterprise Platform),"IT Support (SAP MM, QM, PP, PM, PI)",Need to create new MRP Area for 1U05 TPKR-5FF0001U05 Area for Vendor 1U05,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Aug 18 2025 5:54AM,Aug 18 2025 7:02AM,Aug 18 2025 7:53AM,Aug 18 2025 7:45AM,Aug 18 2025 4:17AM",Bhasker Chhabra,Aug 18 2025 1:23PM,,,,
Changes will be done directly in PRD via FFID,6780,COGI Deletion,Normal,102342,Resolved,Ved Prakash,2025-07-16 17:51:21.767,2025-08-18 15:08:37.213,2025-08-18 15:08:37.213,Implementation Review Closed,Gaurav Mishra,Gaurav Mishra,Yes,"IT Support (SAP MM, QM, PP, PM, PI)","IT Support (SAP MM, QM, PP, PM, PI)",COGI Deletion to be done June'25 COGI are 8 No's and Parts are 5 no's,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 3:32AM,Jul 23 2025 9:58AM,Jul 23 2025 8:53AM,Jul 24 2025 4:23AM,Jul 23 2025 10:25AM",,,,,,
Changes will be done directly in PRD via FFID,6780,COGI Deletion,Normal,105003,Resolved,Praveen Basavaraj Pujari,2025-07-16 17:51:21.767,2025-08-18 15:08:37.213,2025-08-18 15:08:37.213,Implementation Review Closed,Gaurav Mishra,Gaurav Mishra,Yes,"IT Support (SAP MM, QM, PP, PM, PI)","IT Support (SAP MM, QM, PP, PM, PI)",COGI Deletion to be done June'25 COGI are 8 No's and Parts are 5 no's,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 3:32AM,Jul 23 2025 9:58AM,Jul 23 2025 8:53AM,Jul 24 2025 4:23AM,Jul 23 2025 10:25AM",,,,,,
Changes will be done directly in PRD via FFID,6780,COGI Deletion,Normal,105015,Resolved,Praveen Basavaraj Pujari,2025-07-16 17:51:21.767,2025-08-18 15:08:37.213,2025-08-18 15:08:37.213,Implementation Review Closed,Gaurav Mishra,Gaurav Mishra,Yes,"IT Support (SAP MM, QM, PP, PM, PI)","IT Support (SAP MM, QM, PP, PM, PI)",COGI Deletion to be done June'25 COGI are 8 No's and Parts are 5 no's,"Amit Taneja,Ashish Dogra,Amarjeet Singh,Mosharraf Imam,Goji Sugita","Jul 24 2025 3:32AM,Jul 23 2025 9:58AM,Jul 23 2025 8:53AM,Jul 24 2025 4:23AM,Jul 23 2025 10:25AM",,,,,,
